timestamp,git_commit,steps,backend,compile_ms,run_ms,avg_tok_s,last_tok_s,speedup_pct,run_dir,log_file,status
20260227T091858Z,8688de6,100,helios,1365,6443,3583.380,2844.000,0.00,runs/compiled-binary-helios-20260227T091858Z,perf/run-20260227T091858Z.log,ok
20260227T092811Z,c5a4613,100,helios,1495,7528,3068.220,3089.000,-14.38,runs/compiled-binary-helios-20260227T092811Z,perf/run-20260227T092811Z.log,ok
20260227T092957Z,c5a4613,100,helios,1452,6903,3276.500,3179.000,6.79,runs/compiled-binary-helios-20260227T092957Z,perf/run-20260227T092957Z.log,ok
20260227T093142Z,43f58cc,100,helios,1550,8251,3116.840,2803.000,-4.87,runs/compiled-binary-helios-20260227T093142Z,perf/run-20260227T093142Z.log,ok
20260227T093307Z,43f58cc,100,helios,1430,6867,3382.210,3597.000,8.51,runs/compiled-binary-helios-20260227T093307Z,perf/run-20260227T093307Z.log,ok
20260227T093450Z,c06c5ef,100,helios,1448,8218,2420.150,2312.000,-28.44,runs/compiled-binary-helios-20260227T093450Z,perf/run-20260227T093450Z.log,ok
20260227T093516Z,c06c5ef,100,helios,1347,5924,3640.450,3174.000,50.42,runs/compiled-binary-helios-20260227T093516Z,perf/run-20260227T093516Z.log,ok
20260227T093713Z,51a34dc,100,helios,1619,10589,2560.050,2564.000,-29.68,runs/compiled-binary-helios-20260227T093713Z,perf/run-20260227T093713Z.log,ok
20260227T094016Z,51a34dc,100,helios,1508,9083,1966.400,2881.000,-23.19,runs/compiled-binary-helios-20260227T094016Z,perf/run-20260227T094016Z.log,ok
20260227T094103Z,51a34dc,100,helios,1530,6542,3448.130,3057.000,75.35,runs/compiled-binary-helios-20260227T094103Z,perf/run-20260227T094103Z.log,ok
20260227T094249Z,5221bd6,100,helios,1378,8153,2498.210,3405.000,-27.55,runs/compiled-binary-helios-20260227T094249Z,perf/run-20260227T094249Z.log,ok
20260227T094304Z,5221bd6,100,helios,1340,6151,3508.790,3408.000,40.45,runs/compiled-binary-helios-20260227T094304Z,perf/run-20260227T094304Z.log,ok
20260227T094422Z,dfc2e27,100,helios,1304,7057,3378.790,3852.000,-3.70,runs/compiled-binary-helios-20260227T094422Z,perf/run-20260227T094422Z.log,ok
20260227T094438Z,dfc2e27,100,helios,1400,6513,3284.340,3773.000,-2.80,runs/compiled-binary-helios-20260227T094438Z,perf/run-20260227T094438Z.log,ok
20260227T094453Z,dfc2e27,100,helios,1390,6474,3374.990,3728.000,2.76,runs/compiled-binary-helios-20260227T094453Z,perf/run-20260227T094453Z.log,ok
20260227T095106Z,2f24d19,100,helios,1293,6021,3709.550,4065.000,9.91,runs/compiled-binary-helios-20260227T095106Z,perf/run-20260227T095106Z.log,ok
20260227T095245Z,6e78023,100,helios,950,4840,4139.480,4519.000,11.59,runs/compiled-binary-helios-20260227T095245Z,perf/run-20260227T095245Z.log,ok
20260227T095434Z,c6f1e78,100,helios,1491,7286,3119.300,2624.000,-24.65,runs/compiled-binary-helios-20260227T095434Z,perf/run-20260227T095434Z.log,ok
20260227T095450Z,c6f1e78,100,helios,1430,7168,3144.620,2764.000,0.81,runs/compiled-binary-helios-20260227T095450Z,perf/run-20260227T095450Z.log,ok
20260227T095606Z,a1ab4d3,100,helios,1475,9263,2794.840,2319.000,-11.12,runs/compiled-binary-helios-20260227T095606Z,perf/run-20260227T095606Z.log,ok
20260227T095622Z,a1ab4d3,100,helios,1470,7115,3144.820,3172.000,12.52,runs/compiled-binary-helios-20260227T095622Z,perf/run-20260227T095622Z.log,ok
20260227T095730Z,617b760,100,helios,1442,7061,3254.310,2642.000,3.48,runs/compiled-binary-helios-20260227T095730Z,perf/run-20260227T095730Z.log,ok
20260227T095827Z,bd10b32,100,helios,984,5347,3844.440,4843.000,18.13,runs/compiled-binary-helios-20260227T095827Z,perf/run-20260227T095827Z.log,ok
20260227T095926Z,ddcad59,100,helios,1422,7303,3213.550,3508.000,-16.41,runs/compiled-binary-helios-20260227T095926Z,perf/run-20260227T095926Z.log,ok
20260227T095941Z,ddcad59,100,helios,1432,6967,3274.210,3891.000,1.89,runs/compiled-binary-helios-20260227T095941Z,perf/run-20260227T095941Z.log,ok
20260227T100108Z,37c511b,100,helios,1426,7339,3272.190,3620.000,-0.06,runs/compiled-binary-helios-20260227T100108Z,perf/run-20260227T100108Z.log,ok
20260227T100122Z,37c511b,100,helios,1395,7018,3340.230,3162.000,2.08,runs/compiled-binary-helios-20260227T100122Z,perf/run-20260227T100122Z.log,ok
20260227T100215Z,7bd00dc,100,helios,1120,7208,3124.140,2664.000,-6.47,runs/compiled-binary-helios-20260227T100215Z,perf/run-20260227T100215Z.log,ok
20260227T100233Z,7bd00dc,100,helios,1501,7474,3159.090,2876.000,1.12,runs/compiled-binary-helios-20260227T100233Z,perf/run-20260227T100233Z.log,ok
20260227T100330Z,cfd68ae,100,helios,1489,7438,3027.890,3202.000,-4.15,runs/compiled-binary-helios-20260227T100330Z,perf/run-20260227T100330Z.log,ok
20260227T100347Z,cfd68ae,100,helios,1421,6952,3268.950,3627.000,7.96,runs/compiled-binary-helios-20260227T100347Z,perf/run-20260227T100347Z.log,ok
20260227T100508Z,a073d64,100,helios,1644,7601,3077.320,3145.000,-5.86,runs/compiled-binary-helios-20260227T100508Z,perf/run-20260227T100508Z.log,ok
20260227T100525Z,a073d64,100,helios,1427,7017,3167.240,3564.000,2.92,runs/compiled-binary-helios-20260227T100525Z,perf/run-20260227T100525Z.log,ok
