iter,mem_poll,sync_interval,deferred_threshold,pending_threshold,gpu_metrics_sample_every,avg_tok_s,last_tok_s,status,speedup_pct,run_log
1,14,11,32,28,50,2726.544,3092.110,ok,1.74,perf/run-20260228T030201Z.log
2,12,10,28,24,50,2688.560,2511.168,ok,0.32,perf/run-20260228T030207Z.log
3,16,12,36,32,50,2661.988,2542.411,ok,-0.99,perf/run-20260228T030213Z.log
4,10,10,28,24,50,2726.860,3223.055,ok,1.42,perf/run-20260228T030218Z.log
5,14,10,28,24,50,0.000,0.000,smoke_fail,-100.00,perf/run-20260228T030224Z.log
6,12,11,32,28,50,0.000,0.000,smoke_fail,-100.00,perf/run-20260228T030224Z.log
7,16,10,28,24,50,0.000,0.000,smoke_fail,-100.00,perf/run-20260228T030225Z.log
8,12,10,32,24,50,2739.978,2486.560,unstable,1.91,perf/run-20260228T030225Z.log
9,12,10,24,20,50,0.000,0.000,smoke_fail,-100.00,perf/run-20260228T030231Z.log
10,10,11,32,24,50,0.000,0.000,smoke_fail,-100.00,perf/run-20260228T030231Z.log
11,14,11,32,28,75,0.000,0.000,smoke_fail,-100.00,perf/run-20260228T030232Z.log
12,12,10,28,24,75,0.000,0.000,smoke_fail,-100.00,perf/run-20260228T030232Z.log
13,16,12,36,32,75,2642.587,2545.630,ok,-1.71,perf/run-20260228T030233Z.log
14,10,10,28,24,75,0.000,0.000,smoke_fail,-100.00,perf/run-20260228T030238Z.log
15,14,10,28,24,75,0.000,0.000,smoke_fail,-100.00,perf/run-20260228T030239Z.log
16,12,11,32,28,75,2693.846,2349.535,ok,0.20,perf/run-20260228T030239Z.log
17,16,10,28,24,75,2753.394,2688.873,ok,2.41,perf/run-20260228T030245Z.log
18,12,10,32,24,75,2750.220,2560.485,ok,2.09,perf/run-20260228T030250Z.log
19,12,10,24,20,75,0.000,0.000,smoke_fail,-100.00,perf/run-20260228T030256Z.log
20,10,11,32,24,75,0.000,0.000,smoke_fail,-100.00,perf/run-20260228T030256Z.log
