iter,mem_poll,sync_interval,deferred_threshold,pending_threshold,avg_tok_s,status,speedup_pct,run_log
1,12,10,28,24,2710.731,smoke_fail,-33.64,perf/run-20260228T010709Z.log
2,12,11,28,24,2740.471,smoke_fail,-32.91,perf/run-20260228T010717Z.log
3,12,9,28,24,2654.778,smoke_fail,-35.01,perf/run-20260228T010725Z.log
4,10,10,28,24,2755.867,smoke_fail,-32.53,perf/run-20260228T010733Z.log
5,14,10,28,24,2714.762,smoke_fail,-33.54,perf/run-20260228T010741Z.log
6,16,10,28,24,2681.737,ok,-34.35,perf/run-20260228T010749Z.log
7,12,10,24,20,2684.752,smoke_fail,-30.25,perf/run-20260228T010757Z.log
8,12,10,32,24,2765.099,unstable,-28.16,perf/run-20260228T010805Z.log
9,12,10,36,28,2746.969,ok,-28.63,perf/run-20260228T010813Z.log
10,10,11,32,24,2769.780,smoke_fail,-28.04,perf/run-20260228T010921Z.log
11,14,9,24,20,2767.092,smoke_fail,-28.11,perf/run-20260228T010929Z.log
12,14,11,32,28,2759.475,ok,-28.30,perf/run-20260228T010937Z.log
13,16,12,36,32,2687.984,ok,-2.59,perf/run-20260228T010945Z.log
14,10,9,24,20,2735.171,smoke_fail,-0.43,perf/run-20260228T010952Z.log
15,14,12,28,24,2725.832,ok,-0.77,perf/run-20260228T011000Z.log
16,10,12,28,24,2847.510,unstable,4.46,perf/run-20260228T011008Z.log
17,12,12,32,28,2859.660,unstable,4.91,perf/run-20260228T011016Z.log
18,12,8,24,20,2749.476,smoke_fail,0.87,perf/run-20260228T011024Z.log
19,16,9,28,24,2727.318,unstable,0.05,perf/run-20260228T011032Z.log
20,8,10,28,24,2858.718,unstable,4.88,perf/run-20260228T011039Z.log
