interval,avg_tok_s,status,compile_ms,run_ms,run_log,run_dir
4,5222.225,unstable,377,5593,perf/run-20260227T182736Z.log,runs/compiled-binary-helios-20260227T182736Z
5,3335.661,unstable,382,6553,perf/run-20260227T182742Z.log,runs/compiled-binary-helios-20260227T182742Z
6,3272.331,ok,751,7998,perf/run-20260227T182749Z.log,runs/compiled-binary-helios-20260227T182749Z
7,3917.569,ok,725,7690,perf/run-20260227T182757Z.log,runs/compiled-binary-helios-20260227T182757Z
8,3890.368,smoke_fail,912,8114,perf/run-20260227T182806Z.log,runs/compiled-binary-helios-20260227T182806Z
9,4332.508,smoke_fail,414,5230,perf/run-20260227T182815Z.log,runs/compiled-binary-helios-20260227T182815Z
10,3825.500,ok,379,5591,perf/run-20260227T182821Z.log,runs/compiled-binary-helios-20260227T182821Z
11,4178.628,ok,417,5147,perf/run-20260227T182827Z.log,runs/compiled-binary-helios-20260227T182827Z
12,5181.842,ok,387,5178,perf/run-20260227T182832Z.log,runs/compiled-binary-helios-20260227T182832Z
13,5698.857,ok,397,4974,perf/run-20260227T182838Z.log,runs/compiled-binary-helios-20260227T182838Z
14,5466.026,ok,429,4838,perf/run-20260227T182843Z.log,runs/compiled-binary-helios-20260227T182843Z
15,4306.017,ok,500,5655,perf/run-20260227T182849Z.log,runs/compiled-binary-helios-20260227T182849Z
16,3038.143,smoke_fail,854,8669,perf/run-20260227T182855Z.log,runs/compiled-binary-helios-20260227T182855Z
17,2686.814,smoke_fail,750,10588,perf/run-20260227T182904Z.log,runs/compiled-binary-helios-20260227T182904Z
18,3150.702,smoke_fail,812,8310,perf/run-20260227T182916Z.log,runs/compiled-binary-helios-20260227T182916Z
19,2395.306,ok,2192,12488,perf/run-20260227T182925Z.log,runs/compiled-binary-helios-20260227T182925Z
20,2184.955,smoke_fail,1265,11600,perf/run-20260227T182940Z.log,runs/compiled-binary-helios-20260227T182940Z
21,2206.895,ok,704,12204,perf/run-20260227T182953Z.log,runs/compiled-binary-helios-20260227T182953Z
22,1684.623,ok,1446,18701,perf/run-20260227T183006Z.log,runs/compiled-binary-helios-20260227T183006Z
23,2392.676,ok,2007,17278,perf/run-20260227T183026Z.log,runs/compiled-binary-helios-20260227T183026Z
